,0,1,2,3,4,5,6,7,8,,,,,,,,,,,,,
20,0.42,-0.00430055,-0.00430055,-0.004300553,-0.004300549,-0.004300547,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",-0.004300547,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.009873234,0.003395069,10,1.268202918,2.459720395,4.979943034,1.268202918,,,0.000100077,1.835936177,0.793014731,
21,0.44,-0.004038619,-0.004038619,-0.004038631,-0.004038626,-0.004038619,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",-0.004038619,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0.009723502,0.003196687,9,1.215501187,2.349767517,4.754749108,1.215501187,,,9.27E-05,1.889844079,0.723629203,
22,0.46,-0.003783768,-0.003783768,-0.003783769,-0.003783768,-0.003783766,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",-0.003783766,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0.009534249,0.002966802,10,1.214465692,2.334607538,4.723718999,1.214465692,,,8.86E-05,2.008917346,0.687664021,
23,0.48,-0.003539025,-0.003539025,-0.003539027,-0.003539025,-0.003539024,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",-0.003539024,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0.009291419,0.002692737,10,1.221177822,2.319263971,4.692317795,1.221177822,,,8.36E-05,2.09384355,0.664999609,
24,0.5,-0.003303997,-0.003303997,-0.003303999,-0.003303996,-0.003303995,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",-0.003303995,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0.009067998,0.002460009,10,1.223599947,2.283388943,4.618916536,1.223599947,,,7.85E-05,2.286133913,0.604028585,
25,0.52,-0.003077561,-0.003077561,-0.003077562,-0.003077561,-0.003077559,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",-0.003077559,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0.008861765,0.002261709,10,1.221364295,2.22674598,4.503075937,1.221364295,,,7.33E-05,2.495144159,0.527450231,
26,0.54,-0.002858763,-0.002858763,-0.002858765,-0.002858763,-0.002858762,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",-0.002858762,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0.008670813,0.002092244,10,1.214048708,2.149601555,4.345410979,1.214048708,,,6.79E-05,2.483391039,0.503327658,
27,0.56,-0.002646786,-0.002646786,-0.002646788,-0.002646784,-0.002646784,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",-0.002646784,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0.008493494,0.001947059,10,1.201229782,2.052794641,4.147728941,1.201229782,,,6.24E-05,2.50103361,0.459631808,
28,0.58,-0.002440922,-0.002440922,-0.002440925,-0.002440921,-0.002440921,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",-0.002440921,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0.008328396,0.001822424,10,1.183769512,1.962338248,3.963184209,1.183769512,,,5.73E-05,2.517959597,0.412409544,
29,0.6,-0.00224062,-0.00224062,-0.002240622,-0.002240619,-0.002240618,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",-0.002240618,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0.008162321,0.001707184,10,1.185485196,1.909054505,3.854553902,1.185485196,,,5.35E-05,2.568182457,0.375333193,
